Keyword,Total
acoustic alarms,1
Acoustic signal detection,1
agent-based model,1
Aichi Biodiversity Target 11,1
area-based management,1
Artificial satellites,1
Atlantic cod,1
bioeconomic model,1
birds,1
blue whale,1
boosted regression trees,1
bottom temperature,1
bycatch,5
bycatch reduction,1
Central North Pacific,1
cetaceans,1
Choke species,1
climate change,2
closed areas,1
coastal,1
Convention on Biological Diversity conservation targets,1
Coral reefs,1
cumulative distribution function,1
depredation,1
discarding,1
discards,1
disturbance,1
dynamic management,5
dynamic ocean management,3
dynamic spatial management,1
eastern Australia,1
ecological forecasting,1
ecological modelling,1
electronic tags,1
endangered species,1
fin whale,1
fish,1
fisheries,3
fisheries bycatch,1
fisheries management,1
fishery closure,1
fishery interactions,1
fishery management,1
fishing,1
forecast models,1
fronts,1
generalized additive models,1
gillnet fisheries,1
habitat model,1
habitat modeling,1
habitat preference,1
Hard disks,1
highly migratory species,1
high-seas fisheries,1
Intelligent systems,1
leatherback sea turtles,1
longline fishery,1
mammals,1
management strategy,1
marine mammals,1
marine protected area (MPA),2
marine protected areas,3
marine reserves,2
Marine vehicles,1
MaxEnt,1
migration,1
migration routes,1
move-on rules,1
near real-time,1
New England multispecies fishery,1
New Zealand,1
north-western Mediterranean Sea,1
nowcast,1
ocean,1
ocean basin conservation,1
ocean model,1
oceanography,1
operationalization,1
pelagic,1
pelagic conservation,1
Pelagos Sanctuary,1
periodic closures,1
Phocoena phocoena,1
pilot whale,1
population dynamics,1
Radio frequency,1
Radiofrequency identification,1
Real time systems,1
real-time closures,2
red list,1
Regional Ocean Modelling System,1
remote sensing,1
reserve,1
resilience,1
risk pool agreements,1
rotational closures,1
satellite,1
satellite archival tags,1
sea surface temperature,1
seamounts,1
sensitivity analysis,1
southern bluefin tuna,2
spatial management,3
spatiotemporal autocorrelation,1
species distribution model,2
species distribution modelling,1
species distribution models,1
Sustainable Development Goal (SDG) 15,1
swordfish,2
Target tracking,1
thresher sharks,1
time-area fishing closures,1
total allowable catch,1
tuna fisheries,1
U.S. west coast,1
underwater noise,1
upwelling,1
Whales,1
whale–vessel collision risk,1
