bridge_barr,brba_freq,code_cat,code_freq,code_name,total
Bridge,71.3,Data bridge,24.4,Management scale aligns with system needs,28
Bridge,71.3,Data bridge,24.4,Target species data availability,49
Bridge,71.3,Data bridge,24.4,Access to advanced technology and techniques,40
Bridge,71.3,Data bridge,24.4,Data transparency and accessibility,19
Bridge,71.3,Data bridge,24.4,Abiotic data availability,22
Bridge,71.3,Data bridge,24.4,Resource use data availability,15
Bridge,71.3,Social bridge,27.5,Resource availability,7
Bridge,71.3,Social bridge,27.5,Pre-existing regulation and management institutions,41
Bridge,71.3,Social bridge,27.5,Adoption incentives for end users,45
Bridge,71.3,Social bridge,27.5,Feasibility,35
Bridge,71.3,Social bridge,27.5,Co-management and communication,67
Bridge,71.3,Ecological bridge,19.9,Expected climate change induced range shifts,23
Bridge,71.3,Ecological bridge,19.9,Distinct habitat preferences among species in system,8
Bridge,71.3,Ecological bridge,19.9,Biotic indicators of target species presence,5
Bridge,71.3,Ecological bridge,19.9,Abiotic indicators of target species presence,31
Bridge,71.3,Ecological bridge,19.9,Highly mobile target species,31
Bridge,71.3,Ecological bridge,19.9,Life history information available for target species,24
Bridge,71.3,Ecological bridge,19.9,Fine-scale management appropriate for target species,19
Barrier,28.3,Data barrier,10.6,Gaps and inaccuracy,57
Barrier,28.3,Data barrier,10.6,Management scales do not align with system needs,15
Barrier,28.3,Data barrier,10.6,Model abuse,3
Barrier,28.3,Ecological barrier,3.38,Need for multispecies management,13
Barrier,28.3,Data barrier,10.6,Climate change adding uncertainty to target species habitat use,11
Barrier,28.3,Social barrier,14.4,Indirect socioeconomic consequences,17
Barrier,28.3,Social barrier,14.4,Lack of political administration permanence,7
Barrier,28.3,Social barrier,14.4,Poor communication and outreach,5
Barrier,28.3,Social barrier,14.4,Poor program implementation,46
Barrier,28.3,Social barrier,14.4,Implementation costs,27
